section,file,part,staff,notes,mean pitch,mean fret,max fret,range (midi),outcome
art-of-fugue,contrapunctusI.gp5,Guitar I,Guitar II,283,65.7,3.7,13,53-77,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusI.gp5,Guitar II,Guitar I,279,71.8,8.8,19,61-82,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusI.gp5,Guitar III,Guitar III,234,58.0,1.7,5,49-69,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusI.gp5,Bass,Bass,215,37.9,1.7,8,28-50,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusII.gp5,Guitar I,Guitar III,306,57.2,1.9,5,45-67,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusII.gp5,Guitar II,Guitar II,318,64.9,3.5,12,53-76,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusII.gp5,Guitar III,Guitar I,279,71.8,8.7,20,57-84,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusII.gp5,Bass,Bass,293,38.6,1.6,7,28-50,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusIII.gp5,Guitar I,Guitar III,281,58.0,1.6,4,46-67,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusIII.gp5,Guitar II,Guitar II,369,67.2,4.3,13,55-77,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusIII.gp5,Guitar III,Guitar I,229,73.7,10.2,18,61-82,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusIII.gp5,Bass,Bass,276,37.9,1.7,5,28-48,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusIV.gp5,Guitar I,Guitar I,493,73.6,10.6,20,62-84,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusIV.gp5,Guitar II,Guitar II,559,67.3,4.4,15,57-79,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusIV.gp5,Guitar III,Guitar III,533,58.0,1.8,6,47-70,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusIV.gp5,Bass,Bass,472,37.9,1.6,7,28-50,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusIX.gp5,Guitar I,Guitar II,510,66.4,3.9,13,56-77,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusIX.gp5,Guitar II,Guitar I,535,71.6,8.1,20,62-84,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusIX.gp5,Guitar III,Guitar III,375,57.4,1.7,6,48-69,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusIX.gp5,Bass,Bass,344,39.7,1.8,7,28-50,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusV.gp5,Guitar I,Guitar II,351,67.3,4.7,17,56-81,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusV.gp5,Guitar II,Guitar I,355,72.8,9.7,20,59-84,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusV.gp5,Guitar III,Guitar III,322,59.4,2.0,9,48-70,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusV.gp5,Bass,Bass,356,40.2,2.0,12,28-55,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusVI.gp5,Guitar I,Guitar I,478,72.4,8.9,20,60-84,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusVI.gp5,Guitar II,Guitar II,485,66.5,4.1,15,53-79,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusVI.gp5,Guitar III,Guitar III,380,57.2,1.7,6,48-69,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusVI.gp5,Bass,Bass,529,38.7,1.7,8,28-50,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusVII.gp5,Guitar I,Guitar III,403,57.9,2.0,6,47-69,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusVII.gp5,Guitar II,Guitar I,445,73.1,9.6,18,61-82,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusVII.gp5,Guitar III,Guitar II,382,67.1,4.7,13,52-77,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusVII.gp5,Bass,Bass,420,38.6,1.6,7,28-50,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusVIII.gp5,Guitar I,Guitar II,957,63.2,3.0,13,47-77,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusVIII.gp5,Guitar II,Guitar I,956,71.3,8.4,20,57-84,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusVIII.gp5,Bass,Bass,881,39.6,2.4,12,28-55,left as it is - nothing lower fits without falling off the neck
art-of-fugue,contrapunctusX.gp5,Guitar I,Guitar II,482,68.3,5.6,17,57-81,whole piece -2 semitones
art-of-fugue,contrapunctusX.gp5,Guitar II,Guitar III,482,58.8,1.8,6,46-69,whole piece -2 semitones
art-of-fugue,contrapunctusX.gp5,Guitar III,Guitar I,508,74.6,11.7,20,59-84,whole piece -2 semitones
art-of-fugue,contrapunctusX.gp5,Bass,Bass,394,39.9,1.9,12,28-55,"whole piece -2 semitones, drop D"
art-of-fugue,contrapunctusXI.gp5,Guitar I,Guitar II,907,67.3,4.3,15,53-79,whole piece -2 semitones
art-of-fugue,contrapunctusXI.gp5,Guitar II,Guitar I,897,73.9,10.5,20,60-84,whole piece -2 semitones
